country,country_type,eu_member,eurozone_member,year,quarter_num,quarter,price_index,quarterly_change_pct,yearly_change_pct,price_change_since_2015_pct
Sweden,Individual,Yes,No,2024,3.00,2024-Q3,133.00,0.70,0.30,33.00
Sweden,Individual,Yes,No,2024,4.00,2024-Q4,132.64,-0.30,2.40,32.64
Sweden,Individual,Yes,No,2025,1.00,2025-Q1,132.73,0.10,1.90,32.73
Sweden,Individual,Yes,No,2025,2.00,2025-Q2,133.01,0.20,0.70,33.01
Sweden,Individual,Yes,No,2025,3.00,2025-Q3,133.67,0.50,0.50,33.67
Switzerland,Individual,No,No,2022,4.00,2022-Q4,,1.20,4.80,
Switzerland,Individual,No,No,2023,1.00,2023-Q1,,-1.20,3.90,
Switzerland,Individual,No,No,2023,2.00,2023-Q2,,1.20,2.40,
Switzerland,Individual,No,No,2023,3.00,2023-Q3,,0.20,1.30,
Switzerland,Individual,No,No,2023,4.00,2023-Q4,,1.10,1.30,
Switzerland,Individual,No,No,2024,1.00,2024-Q1,,-1.00,1.50,
Switzerland,Individual,No,No,2024,2.00,2024-Q2,,1.10,1.40,
Switzerland,Individual,No,No,2024,3.00,2024-Q3,,0.50,1.70,
Switzerland,Individual,No,No,2024,4.00,2024-Q4,,1.80,2.40,
Switzerland,Individual,No,No,2025,1.00,2025-Q1,,0.70,4.10,
Switzerland,Individual,No,No,2025,2.00,2025-Q2,,1.90,5.00,
Switzerland,Individual,No,No,2025,3.00,2025-Q3,,0.80,5.20,
Türkiye,Individual,No,No,2022,4.00,2022-Q4,783.05,14.40,170.50,683.05
Türkiye,Individual,No,No,2023,1.00,2023-Q1,960.71,22.70,142.70,860.71
Türkiye,Individual,No,No,2023,2.00,2023-Q2,1112.22,15.80,91.00,1012.22
Türkiye,Individual,No,No,2023,3.00,2023-Q3,1325.85,19.20,93.80,1225.85
Türkiye,Individual,No,No,2023,4.00,2023-Q4,1466.37,10.60,87.30,1366.37
Türkiye,Individual,No,No,2024,1.00,2024-Q1,1569.31,7.00,63.30,1469.31
Türkiye,Individual,No,No,2024,2.00,2024-Q2,1664.83,6.10,49.70,1564.83
Türkiye,Individual,No,No,2024,3.00,2024-Q3,1767.04,6.10,33.30,1667.04
Türkiye,Individual,No,No,2024,4.00,2024-Q4,1884.94,6.70,28.50,1784.94
